,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
310,4583,311338134.1726680159,1726680198,google,cpc,(not set),hotel_3
311,4584,1285987037.1726680077,1726680249,(direct),(not set),(not set),hotel_3
312,4585,1705059803.1726680303,1726680375,google,cpc,(not set),hotel_3
313,4586,1178455393.1714567527,1726680496,,nan,(not set),hotel_3
314,4587,1952616285.1726666359,1726680526,google,cpc,(not set),hotel_3
315,4588,1760858015.1726680601,1726680619,google,cpc,(not set),hotel_3
316,4589,1762505071.1721236904,1726680801,,nan,(not set),hotel_3
317,4590,1168034004.1714331970,1726680979,google,cpc,(not set),hotel_3
318,4591,1760654526.1726680819,1726681035,l.instagram.com,referral,(not set),hotel_3
319,4593,2043832354.1726648176,1726681103,,nan,(not set),hotel_3
320,4594,2009914806.1726681045,1726681205,google,cpc,(not set),hotel_3
321,4595,1700226634.1726642053,1726681221,google,cpc,(not set),hotel_3
322,4596,1103919569.1726433038,1726681232,,nan,(not set),hotel_3
323,4597,1300492524.1726681235,1726681302,google,cpc,(not set),hotel_3
324,4598,1701944460.1717081890,1726681503,,nan,(not set),hotel_3
325,4599,1955808171.1725648120,1726681506,source_1,referral,(not set),hotel_3
326,4601,1701944460.1717081890,1726681739,,nan,(not set),hotel_3
327,4602,1174419281.1724858868,1726681867,securepay.simplepay.hu,referral,(not set),hotel_3
328,4603,584519461.1726681827,1726681882,facebook,cpc,campaign_1,hotel_3
329,4604,2036297230.1726681589,1726681937,google,cpc,(not set),hotel_3
330,4605,450530000.1714287733,1726682116,,nan,(not set),hotel_3
331,4606,2093739679.1726682936,1726682956,google,organic,(not set),hotel_3
332,4607,1701944460.1717081890,1726683045,,nan,(not set),hotel_3
333,4608,225741555.1726682978,1726683050,google,cpc,(not set),hotel_3
334,4609,188168072.1724318235,1726683300,google,cpc,(not set),hotel_3
335,4611,887256123.1718476756,1726683718,google,cpc,(not set),hotel_3
336,4612,1987639517.1726683907,1726683960,,nan,(not set),hotel_3
337,4613,1360755164.1714418829,1726683987,facebook,cpc,campaign_1,hotel_3
