,search_log_id,total_price_final,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,redeemed_loyalty_points_total,hotel_id
368,92984,82091.0,96767.78,0.0,0,9676.78,5000.0,hotel_2
369,93060,101376.0,101376.0,0.0,0,0.0,0.0,hotel_2
370,93072,99792.0,110880.0,0.0,0,11088.0,0.0,hotel_2
371,93131,87091.0,96767.8,0.0,0,9676.8,0.0,hotel_2
372,93212,293.5,340.0,0.0,0,34.0,12.5,hotel_2
373,93268,105678.0,122975.56,0.0,0,12297.56,5000.0,hotel_2
374,93281,123387.0,144237.22,0.0,0,15850.22,5000.0,hotel_2
375,93286,102312.0,102312.0,0.0,0,0.0,0.0,hotel_2
376,93443,217058.0,290303.54,0.0,0,43545.54,29700.0,hotel_2
377,93446,130536.0,130536.0,0.0,0,0.0,0.0,hotel_2
