"id";"search_log_id";"search_log_room_id";"room_code";"room_price_min";"room_price_max"
"46904";"86056";"14233";"ROOMGG";"127296.00";"169140.00"
"46905";"86056";"14233";"ROOMCC";"127296.00";"169140.00"
"46906";"86056";"14233";"ROOMBB";"151776.00";"196958.00"
"46907";"86056";"14233";"ROOMFF";"164016.00";"210868.00"
"46908";"86057";"14234";"ROOMGG";"336.00";"336.00"
"46909";"86057";"14234";"ROOMCC";"336.00";"336.00"
"46910";"86057";"14234";"ROOMBB";"382.00";"382.00"
"46911";"86057";"14234";"ROOMFF";"404.00";"404.00"
"46912";"86058";"14235";"ROOMEE";"218630.80";"263278.60"
"46913";"86058";"14235";"ROOMHH";"255350.80";"300000.60"
"46914";"86059";"14236";"ROOMAA";"357.00";"474.30"
"46915";"86059";"14236";"ROOMGG";"374.00";"493.00"
"46916";"86059";"14236";"ROOMCC";"374.00";"493.00"
"46917";"86059";"14236";"ROOMBB";"442.00";"569.50"
"46918";"86059";"14236";"ROOMFF";"476.00";"608.60"
"46919";"86060";"14237";"ROOMAA";"194004.00";"228554.00"
"46920";"86060";"14237";"ROOMGG";"203184.00";"237734.00"
"46921";"86060";"14237";"ROOMCC";"203184.00";"237734.00"
"46922";"86060";"14237";"ROOMBB";"239904.00";"274454.00"
"46923";"86060";"14237";"ROOMFF";"258264.00";"292814.00"
"46924";"86061";"14238";"ROOMCC";"78948.00";"115668.00"
"46925";"86061";"14238";"ROOMEE";"91188.00";"127908.00"
"46926";"86061";"14238";"ROOMHH";"91188.00";"127908.00"
"46927";"86062";"14239";"ROOMCC";"157896.00";"194616.00"
"46928";"86062";"14239";"ROOMEE";"182376.00";"219096.00"
"46929";"86062";"14239";"ROOMHH";"182376.00";"219096.00"
"46930";"86063";"14240";"ROOMGG";"627.30";"723.30"
"46931";"86063";"14240";"ROOMBB";"729.30";"825.30"
"46932";"86064";"14241";"ROOMDD";"210.80";"278.80"
"46933";"86064";"14241";"ROOMAA";"220.15";"288.15"
"46934";"86064";"14241";"ROOMGG";"229.50";"297.50"
"46935";"86064";"14241";"ROOMCC";"229.50";"297.50"
"46936";"86064";"14241";"ROOMBB";"268.60";"336.60"
"46937";"86064";"14241";"ROOMFF";"288.15";"356.15"
"46938";"86065";"14242";"ROOMGG";"627.30";"723.30"
"46939";"86065";"14242";"ROOMBB";"729.30";"825.30"
"46940";"86066";"14243";"ROOMBB";"337824.00";"372374.00"
"46941";"86066";"14243";"ROOMFF";"362304.00";"396854.00"
"46942";"86067";"14244";"ROOMGG";"627.30";"723.30"
"46943";"86067";"14244";"ROOMBB";"729.30";"825.30"
"46944";"86068";"14245";"ROOMDD";"155448.00";"201131.00"
"46945";"86068";"14245";"ROOMAA";"164628.00";"211565.00"
"46946";"86068";"14245";"ROOMGG";"173808.00";"221996.00"
"46947";"86068";"14245";"ROOMCC";"173808.00";"221996.00"
"46948";"86068";"14245";"ROOMBB";"210528.00";"263725.00"
"46949";"86069";"14246";"ROOMDD";"82639.00";"107119.00"
"46950";"86069";"14246";"ROOMAA";"86730.00";"111210.00"
"46951";"86069";"14246";"ROOMGG";"90821.00";"115301.00"
"46952";"86069";"14246";"ROOMCC";"90821.00";"115301.00"
"46953";"86069";"14246";"ROOMBB";"107185.00";"131665.00"
"46954";"86070";"14247";"ROOMBB";"180540.00";"205026.00"
"46955";"86070";"14247";"ROOMFF";"192780.00";"217265.00"
"46956";"86070";"14248";"ROOMBB";"180693.00";"205178.75"
"46957";"86070";"14248";"ROOMFF";"192933.00";"217419.75"
