,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
1718,7320,bcb41cc2-f270-4b7e-99d5-5994631fa397,1727036497,google,organic,(not set),hotel_1
1719,7321,30ccf6c5-c73a-4e32-8cfa-d1881481c373,1727036497,google,organic,(not set),hotel_1
1720,7322,9509f5c4-a7d9-48ab-bf0c-34493a588672,1727036497,google,organic,(not set),hotel_1
1721,7323,ea984d0e-f813-43e1-b433-7c64453a0187,1727036497,google,organic,(not set),hotel_1
1722,7324,7217a572-f4dc-40e3-8b8c-7eb07f028d23,1727036497,google,organic,(not set),hotel_1
1723,7325,2079642065.1726689971,1727036872,google,cpc,hu_brand,hotel_1
1724,7326,1463422765.1726718331,1727036951,checkout.simplepay.hu,referral,(not set),hotel_1
1725,7327,1244666523.1727035735,1727037264,google,organic,(not set),hotel_1
1726,7328,743065384.1727037474,1727037605,l.facebook.com,referral,(not set),hotel_1
1727,7329,856162736.1727037184,1727037665,google,cpc,hu_brand,hotel_1
1728,7330,1597402480.1727035375,1727037684,google,organic,(not set),hotel_1
1729,7331,990638928.1727032875,1727038001,google,cpc,hu_brand,hotel_1
1730,7332,852145081.1727038229,1727038285,(direct),(not set),(not set),hotel_1
1731,7333,1450481895.1726775119,1727038453,google,organic,(not set),hotel_1
1732,7334,1172358466.1726988220,1727038922,,nan,(not set),hotel_1
1733,7335,1044557302.1727038960,1727039024,google,cpc,,hotel_1
1734,7336,1198223058.1727038777,1727039053,l.facebook.com,referral,(not set),hotel_1
1735,7338,94063392.1727039413,1727039469,google,organic,(not set),hotel_1
1736,7339,1783036630.1727039179,1727039654,google,cpc,hu_brand,hotel_1
1737,7340,403388533.1726515933,1727039768,google,cpc,hu_brand,hotel_1
1738,7341,936454773.1727039864,1727039975,facebook,cpc,campaign_1,hotel_1
1739,7342,1783036630.1727039179,1727040049,,nan,(not set),hotel_1
1740,7343,492322545.1727040567,1727040632,facebook,cpc,campaign_1,hotel_1
1741,7344,1783036630.1727039179,1727041891,,nan,(not set),hotel_1
1742,7345,398658818.1727041902,1727041965,google,cpc,hu_brand,hotel_1
1743,7346,1157924043.1727042290,1727042327,google,cpc,hu_brand,hotel_1
1744,7347,686324756.1727042227,1727042466,live,organic,(not set),hotel_1
1745,7348,c86b254b-25b6-4270-b99d-8057eff8313f,1727043002,(direct),(not set),(not set),hotel_1
1746,7349,7e9dbf25-64e8-4030-b5f8-4399158c3119,1727043002,(direct),(not set),(not set),hotel_1
1747,7350,258718909.1727042656,1727043066,google,cpc,(not set),hotel_1
